"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,12,497,25,2,1,630,280,68,1515
2,9.51589744444444,55.4110941111111,7,428,19,0,2,682,83,81,1302
3,9.88525016666667,57.0638338333333,16,740,23,2,1,516,107,192,1597
4,10.107444375,56.1718329375,20,980,55,5,4,1611,346,208,3229
5,9.39475316666667,56.2282926666667,0,102,10,1,0,145,38,20,316
6,12.3813014634146,55.7151783536585,212,4819,196,19,25,7213,2046,1781,16311
7,8.63262825,55.73069375,4,194,5,0,1,464,95,51,814
8,15.05214325,55.23235875,1,31,3,1,0,24,1,4,65
9,11.7462085,55.279210875,0,257,9,0,0,454,71,56,847
10,10.4154805,57.4606995,0,17,0,0,0,58,2,14,91
11,8.649643,56.6895867857143,1,39,2,0,0,94,22,15,173
12,11.3490285,55.78039975,1,46,3,0,0,50,3,14,117
13,11.027705,57.263521,0,2,0,0,0,7,1,0,10
14,11.2665025,54.816726,1,44,2,0,0,16,55,17,135
15,10.9399305,56.516157,0,6,0,0,0,11,0,1,18
16,10.6567635,55.883821,0,1,0,0,0,4,1,3,9
17,8.856682,55.0631655,1,4,1,0,0,19,1,2,28
18,9.3581675,56.833725,0,3,0,0,1,13,0,2,19
19,15.1834177222222,59.2446665,1396,15,13,2,5,558,139,181,2309
20,14.910717,63.131001,146,1,3,1,0,49,11,9,220
21,14.3035100714286,56.3750567142857,268,7,4,1,0,219,20,34,553
22,13.246262,61.649499,12,0,0,0,1,1,1,0,15
23,17.63062,60.6220141666667,888,10,10,2,0,162,40,92,1204
24,20.732045,65.762053,1,0,0,12,0,0,1,0,14
25,13.1165099285714,55.9013320714286,3750,73,66,10,26,2822,914,1409,9070
26,12.2777641666667,58.7858365,89,1,2,3,0,15,18,16,144
27,15.65259925,62.66371075,18,0,0,0,0,7,0,8,33
28,13.190291,63.4988545,51,4,3,0,1,79,4,28,170
29,12.134823,59.6293525,10,0,1,0,0,5,2,0,18
30,17.7229565,64.201048,1,0,0,0,0,0,0,1,2
31,15.846178625,58.063031125,782,31,15,3,0,613,269,94,1807
32,11.8771330277778,57.8004644444444,4190,89,78,87,11,9799,661,1819,16734
33,14.96001625,58.1864558125,274,2,5,1,0,52,28,35,397
34,12.7597134444444,58.0501567222222,936,12,15,4,1,237,160,136,1501
35,17.202483,66.3823185,13,0,0,0,0,3,5,0,21
36,18.392183,63.413379,351,5,6,2,1,39,23,38,465
37,19.197456,65.65933,0,0,1,0,0,3,1,0,5
38,12.970739,59.5412543,194,1,2,1,0,37,37,16,288
39,14.1985661111111,58.6860156666667,368,6,5,0,0,80,66,45,570
40,18.02042625,59.3589332692308,18884,275,260,89,74,14772,3874,2419,40647
41,18.4283835,60.386705,25,0,0,0,0,13,3,2,43
