"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,4,270,8,0,1,272,144,45,744
2,9.51589744444444,55.4110941111111,8,331,17,1,1,448,291,77,1174
3,9.88525016666667,57.0638338333333,9,500,19,1,2,299,158,106,1094
4,10.107444375,56.1718329375,8,551,18,3,7,1515,315,190,2607
5,9.39475316666667,56.2282926666667,2,98,3,1,0,130,8,18,260
6,12.3813014634146,55.7151783536585,181,3022,162,15,36,4766,1992,931,11105
7,8.63262825,55.73069375,3,150,9,2,0,400,72,33,669
8,15.05214325,55.23235875,4,176,1,0,0,71,6,19,277
9,11.7462085,55.279210875,2,178,7,2,1,371,92,281,934
10,10.4154805,57.4606995,6,9,0,0,0,19,0,1,35
11,8.649643,56.6895867857143,0,46,3,0,0,57,7,13,126
12,11.3490285,55.78039975,0,82,7,0,0,21,15,22,147
13,11.027705,57.263521,0,3,0,0,0,9,0,0,12
14,11.2665025,54.816726,1,16,1,0,0,21,1,3,43
15,10.9399305,56.516157,0,12,0,0,0,15,0,1,28
16,10.6567635,55.883821,0,0,0,0,0,1,0,0,1
17,8.856682,55.0631655,0,3,1,0,0,26,5,6,41
18,9.3581675,56.833725,0,2,0,0,0,17,10,2,31
19,15.1834177222222,59.2446665,635,5,6,2,2,479,127,222,1478
20,14.910717,63.131001,152,1,0,1,0,91,34,7,286
21,14.3035100714286,56.3750567142857,300,4,5,2,0,119,20,49,499
22,13.246262,61.649499,21,0,0,0,0,9,8,3,41
23,17.63062,60.6220141666667,698,4,13,1,3,147,35,73,974
24,20.732045,65.762053,30,1,0,24,0,0,5,1,61
25,13.1165099285714,55.9013320714286,3300,46,57,11,9,1393,761,1157,6734
26,12.2777641666667,58.7858365,181,4,7,1,0,68,15,30,306
27,15.65259925,62.66371075,13,0,0,0,0,2,4,3,22
28,13.190291,63.4988545,34,5,18,0,0,28,34,25,144
29,12.134823,59.6293525,14,0,0,0,0,5,1,7,27
30,17.7229565,64.201048,2,0,0,0,0,0,0,0,2
31,15.846178625,58.063031125,1045,9,23,4,3,249,100,75,1508
32,11.8771330277778,57.8004644444444,3908,51,53,21,18,2878,605,637,8171
33,14.96001625,58.1864558125,166,1,2,1,0,26,12,19,227
34,12.7597134444444,58.0501567222222,630,9,10,6,2,359,40,123,1179
35,17.202483,66.3823185,1,0,0,0,0,2,3,0,6
36,18.392183,63.413379,189,1,1,0,0,14,12,25,242
37,19.197456,65.65933,7,0,0,0,0,1,0,0,8
38,12.970739,59.5412543,99,0,1,0,0,52,4,32,188
39,14.1985661111111,58.6860156666667,312,2,4,1,0,55,15,48,437
40,18.02042625,59.3589332692308,14181,151,210,131,21,7404,2623,2170,26891
41,18.4283835,60.386705,30,0,0,0,0,24,0,4,58
42,22.5946015,66.489606,2,0,0,55,0,5,0,1,63
43,23.51346,66.513206,2,0,0,51,0,0,0,0,53
44,16.1008347,59.98051575,276,3,6,0,0,163,15,23,486
45,12.589850875,56.615849,460,8,4,2,5,300,87,77,943
46,13.49591,62.690143,4,0,1,0,0,3,1,0,9
47,18.967192,63.964269,18,0,0,0,0,0,0,3,21
48,21.254209,66.047773,76,1,2,61,0,32,6,8,186
49,16.43840925,61.1213545,280,3,2,1,0,66,7,10,369
50,13.415557,57.3881655,60,2,1,0,0,29,50,34,176
51,16.715886,57.1583203333333,72,0,2,1,0,3,7,2,87
52,15.58905225,60.423136875,366,2,2,0,0,292,17,26,705
53,17.2979070833333,59.3251461666667,728,5,27,6,2,274,74,115,1231
54,14.39066875,59.62487075,97,1,1,0,0,11,12,18,140
55,13.6244826,59.4685884,486,7,6,0,3,482,32,88,1104
56,15.9208175,64.6821585,9,1,0,0,1,2,2,1,16
57,15.5251085,57.3067511,120,5,5,0,0,17,15,16,178
58,15.76367425,56.5748161666667,585,11,11,2,5,175,167,105,1061
59,17.0336955,60.0655055,18,0,0,0,0,0,0,4,22
60,16.3933022,59.2908482,1780,18,30,15,1,520,112,172,2648
61,15.842093,58.93731075,24,0,0,1,0,435,25,56,541
62,13.372952375,58.428242,208,1,2,1,0,52,21,16,301
63,14.0279448,57.8808961,511,6,9,1,0,115,68,66,776
64,12.431369,57.3062655,153,3,1,0,0,123,17,25,322
65,13.591122,60.0908275,4,0,0,0,0,0,0,1,5
66,19.4656435,67.198665,21,1,0,142,1,1,6,2,174
67,14.899423125,60.336809125,124,0,2,0,0,63,27,47,263
68,13.8182933333333,56.8326863333333,88,15,3,0,1,49,66,19,241
69,17.3456675,58.6664325,96,0,2,0,0,45,5,15,163
70,18.661315,57.696298,221,6,3,1,1,65,12,40,349
71,13.7429415,62.164232,59,1,1,0,0,64,2,7,134
72,17.8621406666667,62.7151231666667,95,1,0,2,0,58,21,11,188
73,13.8097530833333,55.67400825,256,5,6,1,0,77,22,33,400
74,14.618906,57.46246425,69,1,1,0,1,78,6,12,168
75,23.754817,65.748327,7,0,0,33,0,0,2,1,43
76,17.0541605,61.91692925,65,1,1,0,0,17,6,9,99
77,18.6875185,66.9073215,3,0,0,24,0,4,2,0,33
78,23.0083025,65.7634915,207,0,6,70,0,9,14,17,323
79,15.008784625,56.216097125,168,2,6,1,0,180,27,38,422
80,20.592823,68.207941,60,0,0,230,0,37,14,7,348
81,14.1914965,63.802911,4,0,0,0,0,4,0,1,9
82,15.5396215,61.913626,22,0,0,0,0,4,4,3,33
83,22.2299115,65.691135,556,10,11,84,2,133,23,50,869
84,18.41001,64.6515525,21,1,0,0,0,2,6,1,31
85,11.3009169,58.4381282,41,1,0,1,0,27,8,4,82
86,16.6437,56.338615,17,0,0,0,0,1,3,0,21
87,18.779528,65.254725,1,0,0,0,0,0,1,0,2
88,13.2047113333333,60.7470671666667,121,4,2,5,0,14,9,5,160
89,14.49532575,61.23252625,43,0,0,0,0,6,3,2,54
90,19.60184875,63.71098225,35,0,0,0,0,14,17,13,79
91,16.6828192,58.4778727,608,2,3,0,0,168,172,76,1029
92,19.0380985,59.752392,77,6,1,5,1,44,26,5,165
93,19.52258775,64.66367425,4,0,1,0,0,0,0,0,5
94,15.52567125,61.25994825,38,0,2,0,0,42,6,8,96
95,22.867224,67.406884,0,0,0,138,0,1,4,0,143
96,21.0645695,65.281744,281,3,4,52,0,43,18,22,423
97,16.110442,63.1616565,1,0,0,0,0,0,0,0,1
98,20.677042375,63.90647775,449,3,3,73,0,158,96,60,842
99,17.1928605,61.287574,97,0,1,0,0,26,2,5,131
100,16.5702605,60.48991,153,2,0,0,0,39,14,19,227
101,14.3815795,55.559747,84,2,1,0,0,33,159,19,298
102,20.7074715,64.745622,258,0,7,91,0,53,15,37,461
103,13.07483675,55.32996025,190,5,3,1,0,112,21,33,365
104,16.9236905,63.441999,15,1,0,0,0,1,0,5,22
105,16.42626025,65.5655105,32,1,0,0,0,5,2,0,40
106,11.033549,58.9541845,14,0,3,0,0,2,30,1,50
107,15.185727,64.2329895,3,0,0,0,0,6,0,2,11
108,17.242557,62.516543,582,56,25,3,0,260,45,18,989
109,17.776644,59.9583985,914,5,13,6,13,442,638,183,2214
110,18.9564565,59.1866635,85,6,32,3,0,53,13,15,207
111,16.669393,57.8294575,22,1,0,0,0,8,3,2,36
112,14.8548775,56.918339,642,6,8,3,2,63,84,62,870
113,14.2689575,60.460521,0,0,0,0,0,2,0,0,2
114,14.7512865,68.606516625,3,9,37,0,3,40,13,3,108
115,9.724856875,63.4687084375,1,11,23,0,0,47,5,20,107
116,6.73181446153846,62.5395995,6,15,137,0,0,313,39,79,589
117,5.87158594444444,62.2590107777778,3,4,44,0,0,30,11,5,97
118,10.8883969848485,59.8866790606061,169,334,2911,13,10,4099,1552,1039,10127
119,10.1446284761905,59.5121462380952,28,70,504,2,1,323,132,83,1143
120,10.8175481666667,59.2122598333333,21,25,237,0,1,114,20,61,479
121,10.4128548125,61.0178211875,4,16,160,1,1,68,21,18,289
122,5.1585125,60.53833909375,21,48,457,0,2,364,326,116,1334
123,9.16359175,60.9286836666667,0,5,14,0,0,9,1,1,30
124,10.6299390555556,63.9711670555556,0,40,133,0,0,3,1,1,178
125,8.292863875,60.630435,3,6,68,0,0,25,3,4,109
126,8.13419820833333,58.3941322916667,4,16,212,1,0,186,138,48,605
127,11.5197590714286,60.8539586428571,9,11,164,1,0,91,103,30,409
128,7.67429683333333,61.2772843333333,2,0,18,0,0,33,15,4,72
129,11.563961,59.4495889285714,1,7,26,1,0,72,7,42,156
130,7.31633816666667,58.392349,2,0,5,0,0,16,1,4,28
