"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finnish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,8,385,20,1,7,757,116,79,1373
2,9.51589744444444,55.4110941111111,0,266,33,1,1,338,139,78,856
3,9.88525016666667,57.0638338333333,1,300,10,1,0,352,50,141,855
4,10.107444375,56.1718329375,5,620,18,4,13,1065,104,165,1994
5,9.39475316666667,56.2282926666667,2,74,2,1,0,150,17,14,260
6,12.3813014634146,55.7151783536585,134,3652,167,11,27,5613,1631,962,12197
7,8.63262825,55.73069375,2,154,2,1,0,326,38,27,550
8,15.05214325,55.23235875,1,29,0,0,0,31,2,6,69
9,11.7462085,55.279210875,5,262,10,1,0,283,350,40,951
10,10.4154805,57.4606995,1,13,2,0,0,17,2,7,42
11,8.649643,56.6895867857143,0,33,0,0,0,68,15,10,126
12,11.3490285,55.78039975,0,22,4,0,0,43,10,1,80
13,11.027705,57.263521,0,0,0,0,0,0,0,0,0
14,11.2665025,54.816726,0,37,0,0,0,9,1,5,52
15,10.9399305,56.516157,0,10,0,0,0,4,0,0,14
16,10.6567635,55.883821,0,0,0,0,0,14,1,5,20
17,8.856682,55.0631655,0,5,0,0,0,3,5,0,13
18,9.3581675,56.833725,0,0,0,0,0,17,12,2,31
19,15.1834177222222,59.2446665,1162,12,16,6,0,265,83,142,1686
20,14.910717,63.131001,82,1,0,0,0,19,29,10,141
21,14.3035100714286,56.3750567142857,232,3,7,1,0,62,14,25,344
22,13.246262,61.649499,14,0,0,0,0,5,2,0,21
23,17.63062,60.6220141666667,591,10,5,1,3,116,28,61,815
24,20.732045,65.762053,31,1,0,15,0,0,1,2,50
25,13.1165099285714,55.9013320714286,2669,43,39,18,11,1781,739,1938,7238
26,12.2777641666667,58.7858365,50,3,2,0,0,30,29,10,124
27,15.65259925,62.66371075,10,0,0,0,0,2,0,0,12
28,13.190291,63.4988545,123,9,6,0,0,38,11,7,194
29,12.134823,59.6293525,6,0,0,0,0,2,0,1,9
30,17.7229565,64.201048,0,0,0,0,0,0,0,0,0
31,15.846178625,58.063031125,597,20,10,0,0,312,157,69,1165
32,11.8771330277778,57.8004644444444,3506,90,266,36,10,2452,422,705,7487
33,14.96001625,58.1864558125,182,1,3,2,0,30,8,14,240
34,12.7597134444444,58.0501567222222,575,8,10,1,0,240,108,90,1032
35,17.202483,66.3823185,3,0,0,0,0,7,2,2,14
36,18.392183,63.413379,293,3,4,0,3,38,19,34,394
37,19.197456,65.65933,21,0,0,0,0,1,2,1,25
38,12.970739,59.5412543,94,1,0,1,1,39,11,13,160
39,14.1985661111111,58.6860156666667,201,3,3,1,2,62,10,21,303
40,18.02042625,59.3589332692308,12252,191,217,56,28,7064,1619,1476,22903
41,18.4283835,60.386705,8,0,0,0,0,4,2,0,14
42,22.5946015,66.489606,3,0,0,38,0,3,1,0,45
43,23.51346,66.513206,0,0,0,32,0,0,0,1,33
44,16.1008347,59.98051575,164,8,9,0,0,29,37,73,320
45,12.589850875,56.615849,554,8,7,2,0,318,22,139,1050
46,13.49591,62.690143,6,0,0,0,0,0,0,0,6
