"cluster_id","cluster_x","cluster_y","hashtags_text","hashtags_lang","hashtags_freq"
1,10.46319967,55.22794778,"6k add adhd bsbcruise2018 bsbvegas denmark dkpol endomondo endorphins howsexy hpv independenceday largerthanlifetour lgbt løb lunarglide music nike nikeplus nikerun nikerunning nrc odense run running sunddk sundpol tb17 tdfdk tdfdk thekillers tinderbox2017 tourdefrance2017 tourtv2 tourtv2 tourtv2 ugeskrift usa vueconf2017 vuejs","en da da en en en da en en en da en en da en en en en en en en en en en en da da en da sv en en en da en sv da en en en","1 1 1 1 1 1 1 6 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2,9.515897444,55.41109411,"arbejdsmiljø bundesliga butter cestunescandale comfortfood cyklingtv2sport dårligtaper design dkaid dkaid dkpol dkpol endomondo endorphins enforfællesskabet eupol europeandays food growinghomedk growyourownfood guruvinformidling homecooking ineztravels job ncbech petersagan photograph photoofday premierleague superdårligvinner tdf tdf2017 tdf2017 tennis tourdefrance tourdefrance tourdefrance2017 tourtv2 tshirt tv2sport tv2tour uci urbangardening wimbledon","da en en da en da no da da en da en en en da en en en en en no en en da da en da da en no da da en en da en en en da da da en en en","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 3 2 2 1 1 1 1 1 1"
3,9.885250167,57.06383383,"aab aalborg beetle bernardeschi bluetooth calciomercato comimg dkgame efterskoleholdet efterskoleholdet17 endomondo endorphins fiorentina fourthofjuly gadget gamedev independenceday juve kafer l2017 landsstævne newmusic nibefestival patientengagement pldk rebildfesten rebildhills safethansorry saphe saphethansorry serieadk sldk storm techno vejgaardtårnblæserlaug volkswagenbeetle who","da en da da en da en en da da en en da da en en en da da da da en en da da da en en en en da da en en en da da","1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
4,10.10744438,56.17183294,"<U+043F><U+043E><U+0457><U+0445><U+0430><U+043B><U+0438> <U+0442><U+0430><U+0442><U+0443> <U+0444><U+043E><U+043A><U+0443><U+0441> aarhus adaletyürüyüsü adeccowaytowork aftensmad alekseipichugin annac1m beach belarus blog bomdia borahansgrohe bowl carabaocup cat ceo1month ceoattitude corruption customorders deeplearning denmark denmark dev dk elayneelen ella endomondo endorphins enjoy esportslife everyoneisenjoyingtheirholidays facup fail fakepresident fifa foco fotograf free frokost ghostcollege goat grøn17 gulag hibiscus horror hummerbisque independenceday innobooster insekter instagood instatravel july4 july4th justiceforsagan justicemarch ladyvintage livetsomselvstændig måååååviiiiiiiknåååååååkfååååeeeenmoooaaaar maker makeup mariecurieif maythelordopen mh17 minsk mitperspektiv moving mscachat mustache nastypresident nobelparken nofifa4putin ootd osce people perfecttherapy photography photooftheday plastikfantastik pldk pollipots potteryshop produtividade putin putinatwar rainforrest randers randersrainforest randersregnskov rannesekke redvelvet redvelvetcake rensdyr sagan salat scandinavian sdg6 sdgs sentinel skandale snake startingtogettiredtho summer sustainable tdf17 tourdefrance tourdefrance2017 tourtv2 travel travelgram trip trump twitterverse ukraine underhiseye us væksthuseneaarhus var veteraner vikommerigen warcrimes water welcomewagon wollymammoth yayproductivity","uk uk uk en en en da en en en en pt pt da en da en en en en en en en und en und pt da en en en en da da en und en pt da da da da und da en und en da en en da no no en en da en und da da en en en en en en da en en en und da en und en en en no no da da en en pt en en und und und und da da da da da da en en en en da und en en en da da da da no no no und en en en und da da da no en en en no en","1 1 1 1 1 3 1 1 3 1 3 1 1 1 1 1 1 3 3 1 1 1 2 1 1 1 1 1 6 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 3 2 1 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1"
5,9.394753167,56.22829267,"endomondo endorphins godskole ok orienteringsløb respekt scaredashell skolechat spildtiden statement tdf2017 thehandmaidstale tintin tourdefrance tourdefrancesucks trump tv2tour wasteoftime wimbledon wimbledon2017","en en da da da da da da da da en da da da da da en da da da","2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
6,12.38130146,55.71517835,"<U+B304><U+B9C8><U+D06C> <U+BE14><U+B799><U+C2A4><U+D2B8><U+B9C1> <U+C720><U+B7FD> <U+CF54><U+D39C><U+D558><U+AC90> <U+D22C><U+C5B4> 1sttimeindenmark 1sttimeindenmark 4july 4tagesmørrebrød 4thofjuly 4thofjuly2017 80s aab aablive adventures afternoon agencylife airbnb akavet aldrigdatelokalt allbeautifullday allnight always amager amagerlife amagerstrandpark amber ameliaearhart americanabroad analytics anastacia andreagracis anniversaryevent arbejde archilovers architecture arduino arena arken art art artinstallation associations automated babyboy babylife backtowork bær bamsestolen bbqribs beautiful beautiful beautifulmusic beautifulsky bedcraftsman beer benchmark bestinthecity betis bi bidstrupskovene bigdata bighairdontcare bike bird birthday birthdaydrinks birthdaygirl birthdayking bizzshoots blackstring blockchain bluedk blues bluesky boat bocce bodybuilding bodylove book books brexit brexit businessmgmt busylittlebee cafetight callofthewild cargobike carlsberg carpool cavcrash cebcareers ceiling chanel chanel chanel chanelhautecouture chanelhautecouture chanelhautecouture chapter1 chemex chilling chok ciid ciidsummerschool2017 cinnamonrolls classiccars clou clouds cndgrandmaster cndmanicure cndromantique cndshellac coffee collaboration colorful colors colourfulbuildings composition composition comte copenhagen copenhagen copenhagen copenhagen copenhagen copenhagen copenhagencontemporary cotw159 cph cphfintech cphftweek cpu cuba cute cuteboys cyclingwithoutage dailyshred danish danishpastries dansk day1 defeatisnotanoption denerhjemme denmark denmark denmark denmark design developer devg dialogkaffe digdk digital digitaldesign digitalmarketing diis dinnercph dkaid dkbiz dkfinans dkgreen dkjob dkmedier dknatur dkøko dkpol dkpol dkpol dkpol dksport dktech dktrp dms dolanstwinsnewvideo dolanstwinstuesday dolantwins dolantwintuesday doodle drinks drupal edelivery eeeats eeeeeats egos2017 eidas electronic elmingcurse endomondo endomondo endorphins endorphins engletis enjoying enough epicsexyyou eslone eslonecologne eudk europe europe everton everyday evianoversize exhiitions expatlife favouriteteddy femaleempowerment finallysomesun finansdk fintech fitness flowers follow food forever fourthofjuly frederiksberg fridakahlo friends ftlive fujifeed fujifilm fujifilmnordic g20 g20ham gabriellechanelparty gabriellechanelparty galatasaray gamedev genanvendelse genbrug georgian giacometti girlchildeducation girls glyptotek goodcompany goodfoodandwine gpu grafik greece green grekland gururdur gym habits hækle hamburg håndlavet hangingwiththeboys harbour hashtagqueen haveagooddayeveryone havingfun havnevigen healingexpert hellas hellerup helpsophie hephep hindbær hiring hmu holland hooked hotguyalert hottestplayerever houseproject hpv hummel hummer hvalsø iconapop iconapopfanpage iconscph ifyoucanttoneittanit ikampenshede illustrationlove imfrankfurt independenceday independentartist indie innovation instadaily instafoodie instagood instagood instagood instagram instalike islandsbrygge italian japan jesuissagan job job jobdk jobs jordenkalder july july2017 july4 justice kaffe karllagerfeld karllagerfeld kbh kbhpol kef kellyleveque kingantony kingdrunk københavn københavn kongenslyngby kööpenhamina kristenstewart kristenstewart kristenstewart kristenstewart kristenstewat kristenstwart kristenstwart kv17 lækre lapland latergram laugh legends lego lejre lejrekommune librarylife lickoftheday lifeinscandinavia ligestilling limitededition liveyoung llp lotsofcoffeefilter lotsoffilter love love lovemylife lyttetur madcph makesmesmile maki management mangfoldighed marinaabramovic marketing marquesse martime matador me melisseus mexicanart mh17 migration milliepetersmakeup moment mongogames mongogames mongohistory mongohistory mongonews mongonews mongotube mongotube monstercat mood moodysky museofchanel music mycopenhagen mymile myth namusdur nasa natur nescafe nigeria nike nofilter noisepop notetoself nyhavn nyhavn ocean odense odensec oil ol ølbowlingtilvidør oldbuildings oldfriends oldmanlifting oldmanliftingandhurting onesmallstep onlinereviews onurdur orangefeeling originalphotography ourhub outwiththegirls overilet painting papir pariscoutureweek pariscoutureweek pariscoutureweek parisfashionweek parisfashionweek pastries peace petersagan petersagan photo photographer photography photography photooftheday physicalcomputing pictureoftheday piratesofthecaribean pizza plane play playablecity pldk podcasting pointzero port portrait pose postdocpreconference prenight pride2017 protectourprivacy pun putin putinatwar qualified quickdeveloping qvevri raceweek rain reaper recycle refugeecrisis refugees regionsjaelland relaxation research restaurant resttime reunion rf17 rf17 rf17 ride ro roadtoturku roblox roblox rome roskilde roskildefestival roskildefestival2017 roskildeharbor rpa run runner running salad salonspraytans sandwich sdgs sealand sefietime selftans seo sereftir serenity shellac shorthair shred shreds signature simplythebest skat sketchapp smile smm sneaker sødvin somnusbed sophiesweddingdress sørgeligt spotmeplace spring statistics sticksandsushi stoltesummer2017 stopover stopover streetmusicians suh summer summer summerholiday summertour2017 summervibes sun sundpol sunrise sunset superb surpise sweetdreams swimmingpool swissdreams symbiotisk tagsforlikes takecare taking talr tdf tdf17 tdf17 tdf2017 tdf2017 tdf2017 tdf2017 tdfdk tech tennisdk texas the thebest thebestof2017 tivoligardens to tomhiddleston topclass tories tour tourdefrance2017 tourtv2 tourtv2 tourtv2 tourtv2 training transferdk travel trees trlt tro tseliot tuborg tuedayselfie tuesday tuesdaymotivation tuesdays tuesdayselfie tuffinale tv3sport tycoon uber übercool udendørsbad ufc213 ukirke uklibchat ukpol ukraine unfair unity3d unitytips upcycle usa valeinviaggio vesterbro vikingeborg vikinger vintage visitcopenhagen visiting visualmerchandising voressted vray wanderlust warcrimes wawrinka weightlifting weightloss whanau whanau4life whanaureunion whitetobrown wimbledon wimbledon windowdisplay womansart womenadventurers womensart wood work xphotographers yokoono yonoton youtube youtuber zakittaaincph zanzibar zepline","ko ko ko ko ko da th en de en en de da da und und en en da da und en en en en en da en en en en und en da en en en en da en es en en en en en en da en en en und en en en fi en en da en da en en en da en en en en en ko en en da en en en en en en en da en en en en en cy fi en da en en en es und en th und da en en da en en en de en da en en en en und en und da en en und en da de en es ko und es en en en en en da und en en en en en und th sv da da en ko und und da en da en en en en en en da da da da en da da da da en no sv da en cy en en en en en und en da en is is en en en da da en da en da und en en en en da en ko da en en en en en und en da en en und und en en en de und en da de de de da en en und da en und und da en und en en en en en da und en und tr en en und en und en en en und en da en und en en da da en en en en und en en da da da da en en en en da en en en en en en it is is it und it it da is da und da en en en da da da en en und en und en da en en en en da en da fi en es th und en en und da da en fi en en en da da en en en da da en en en en en und en da en en fi en da en en en en da und und und en en en und da en da no da no da en en und en en en it en en tr en und und en da en en da en und en en en en en sv en en en en en en tr da und en en da en und en es und en th en und da en en und en und und en und en is und en en da en de en en en en en da en en en en en en da en en en und en en da en en en da en da en sv en und da da en en en en da en en en en en en en en en da und en en tr en en en en en en en da en und en da da en en sv en en en en en da en en da da en da en en en da en en en en en da en en und en und en en da en da en sv und en en da en und en en und und en en en ko en da en sv und en da und da en da en en en und en en en en da en da da da en da en da en da en en und en it en no da de en en da da en und en en en en en en en en da en da und en und und en de es fi en en da und en","1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 3 4 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 16 1 1 3 1 3 4 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 10 1 1 2 1 1 1 1 1 1 2 1 1 1 4 1 4 1 1 1 1 13 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 22 1 22 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 3 1 1 7 1 1 4 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 3 2 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 4 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 4 1 1 4 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1 5 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 2 1 1 1 1 1 2 8 1 1 2 1 1 1 2 4 1 1 1 1 2 1 1 1 1 1 1 1 1 1"
7,8.63262825,55.73069375,"billund blavand danmark danskemodel dinner dkpol engineering esbjerg footballgolf fotbollsgolf fromwhereistand glaskugel golden hiring hotdog it job jobs kaffeezeit kitesurfing kommunekunterbunt lego malwasanderes marketing nx30 outdoor parentalengagement rideonewheel ridewithmads samsung skolechat summer travel worldcup","en und und da en da en und en en und no en en und en en en und en und en no en no en en da da no en en no en","8 1 2 1 1 1 1 1 1 1 2 1 1 7 1 1 9 2 1 1 2 7 1 5 1 1 1 1 1 1 1 1 1 1"
8,15.05214325,55.23235875,"bornholm bornholm efb færgen fmdk17 happy4th happybirthdayamerica happyfourth hjemmesidekyndig nordicbetliga sldk sorthat sorthatstrand strand transferdk walkwithdog","da en da da da en en en da da da en en en da en","1 1 2 1 1 1 1 1 1 1 2 1 1 1 2 1"
9,11.7462085,55.27921088,"afsløring breakingnews butikoe butikoewomen content copenhagen denmark design endomondo endorphins fånewshelikoptereniluften happy4th inflight kobækstrand møn nilpeter nilpeterteam rainorshine rebild sea skælskør some summerfashion supercharging tv2foxnews userresearch ux","da da da da en da da en en en da und da da da en en en und da da en da en da en en","1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1"
10,10.4154805,57.4606995,"endomondo endorphins rf17 roskildefestival","en en en en","1 1 1 1"
