"cluster_id","cluster_x","cluster_y","hashtags_text","hashtags_lang","hashtags_freq"
1,10.46319967,55.22794778,"5daysprint ærøskøbing balonmano bestpractice celtics change coop coopdanmark danemark dementia denkortekirsten denmark digitalinnovation digitalsherpa digitaltransformation dkpol dkpol dkpolitik elderly endomondo endorphins familielægen fynpol gols gospel hackweek handball handebol hotdog håndbold jamesmcavoy ketchup manchester manchester manchesterattack mcavoyers mentalhealth metodistkirken mustard nardus nike nikeairforce1 nordfyn odense ok17 okfoundation pilkareczna prayformanchester refugee remoulade rightwing rioja rip rogermoore sneakers sundpol switch tbt terror towerfall vin wine vintest","en da da en en en da da fr en da da en en en da en da en en en da da da da und da da en da en en da en en en en da en da de de da fr da en da en en en da da und und de da en da en und da da da","1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 10 10 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2,9.515897444,55.41109411,"aabenraa adorable als animal animals beautiful benim blå byge bøvl charlottedrue child children childrenphoto chouxpastrylove comwell cute dbupokalen denmark dk dkpol endomondo endorphins family fckbif frederikssundvalg17 freshproduce fun gewitter haderslev itshisyard kærneland kolding kv17 manchester manchester manchesterbombing memleketim menstruationmatters mhm post9 prayformanchester regn romanempire sommerlig speechless strand swan swans sydals takimim tikkodk tomatoes walkingstreet venstre","en en da en en en tr da da da da en en en en da en da en en da en en en da da en en da en en da da da da en en tr en en da en da en da en da en en da tr da en en da","1 1 1 1 1 3 2 1 1 1 1 1 1 1 2 1 1 1 3 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
3,9.885250167,57.06383383,"benevento beneventospezia calciomercato calciovero cat catlady cobham cosmetologist difrancesco dwtmanchester endomondo endorphins engaged gift gmdss instadaily lizakoshy love loveher makemusicnotterror makeupbypiaw manchester manchesterarena marriage milan musacchio mypoorbaby peace playoff prayersformanchester prayforlove prayformanchester prayformanchester prayforpeace prayfortheworld roma sad sailor serieb shecantbesick sheismyfavorit spezia stopterrorism thrane villareal vsat yes","da da da da en en en en da pl en en en en en en en und en und en und en en da da en und da und en en pl en en da en en da en en da en en da en en","2 1 1 2 1 1 3 2 1 1 5 5 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1"
4,10.10744438,56.17183294,"aarhus aarhus2017 aarhusstadsarkiv aarhusuni aarhusuniversitet ampeg ampegamps army bambam bass batb bearsays beasties beech borgerløn bts btsbbmas collaborativeresearch cowards customorders demensven denmark dkpol dogsoftwitter endomondo endorphins eud fields forest freelance fuckterror got7 graphic green haven hygge icn2017 instabsco islamicstate island jackson jaebum jinyoung kaffe l lakland ldevents louddistrict love loveofmylife lovewilltriumph maker manchester manchester mark myson nature nursesinspe ocean politikudvikling pollipots portræt potteryshop quantumphysics randers randers rip rsa_vsco samoyed samoyedsofinstagram scandinavian scienceathome solen spammer standtogether therealjamesbond thereisaspecialplaceforyouinhell ubi uddpol vase wesendyouourlove westie westies womeninscience workplace vsco vscoapp youngjae youwillnotbreakus yugyeom","en da da en en en en en en en en und en en da en en en da fr da en da en en en da en en en da en en en da da en en und en en en en da en en en en da da und fr da en en da en en en da fr da fr en da en da en en en fr en da en en da und da da fr da en en en en en en en und en","1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
5,9.394753167,56.22829267,"aloneinthegym bodybuilding endomondo endorphins f1 f12017 getfit getlean getswole monacogp","da da en en da da da da da da","1 1 1 1 1 1 1 1 1 1"
6,12.38130146,55.71517835,"<U+0434><U+0430><U+043D><U+0438><U+044F> <U+043A><U+043E><U+043F><U+0435><U+043D><U+0433><U+0430><U+0433><U+0435><U+043D> <U+0444><U+0430><U+0433><U+043E><U+0442> <U+0631><U+0645><U+0636><U+0627><U+0646> <U+0695><U+0647><U+200C><U+0645><U+0647><U+200C><U+0632><U+0627><U+0646><U+06CC> 13thfloorelevators 22may 24kmagicworldtour abstract accesstodocuments affordableluxury afghanistan aftershowet airlift ajaman ajamun ajax ajax ajaxkbh ajaxkøbenhavnu9 album09 amager amsterdam andreagracis angencylife animales ao aperfectcircle arbejde arbejderbedstmeddeadlines arena argentina arianagrande arianators art artificialintelligence ateliernynnesavery automation av babylife beach beautiful bestabstracts bibliotek biking bikingcopenhagen bioeconomy bioenergy birthday bitcon blockchain blue blyesky bogsnak bohobeauty bosphorus bridge brucespringsteenstudioalbummarathon brunomars btc businessmgmt cafelife cardiff cars castle cebcareers celebrate censorship cestoursbadminton chair cherishthemoments chilling city clinicaltrials cmos cnd cnd cnd cnd cndgowithapro cndgowithapro cndmanicure cndmaster cndpinkbikini cndpinkbikini cndpinkbikini cndshellac cndshellac cndvinylux comcphem comeseek comic copenhagen copenhagen copenhagen copenhagen copenhagen copenhagen copenhagen copenhagenfood copenhagenlife copenhague cph cph cph150 cphalumni cphbusiness cphfw creative creativity cremeanglaise crossfit crownjewels curlingkids danish danishstyle danmark dbu ddhh decor deepboy delditkbh denmark denmark denmark denmark denmark denmark denmark denmark denperfektemorgen derkommerspyd dietssuck digitaldesign distortion distortion17 district ditzelogco ditzelogcoheatherhill djlife djpro dkbiz dkforsk dkgreen dkhandicap dkidræt dkjob dklit dkmedier dkmedier dkoko dkpol dkpol dkspin dksport dkstartup dktech dkvid dmvda doctor eatingoutafterwork eatsleepraverepeat edm edmculture edmlife elle ellestyleawards ellestyleawards embracechange embracelife embracethepain ems ems2017 ems2017 emsfamily endomondo endorphins energyefficiency enlightenment eshg2017 esrum eth ethereum ethiopian ets2 eubioenergy eud euro17 euro17 europe fashionable fearthebeast feet femen feminist ferrari festivalchic ficaadica fintech flagstaff flodhest folketinget food fredericksberg frediverden freebiafra freennamdikanu freespeech frenchopen friend ftcongress ftlive fun funnyman gardenlife gay geneva genevaopen geodemographics ggmu ginorden girlswithtattoos glasses glee goawaycold google gossip granada gratistip greatbiritshsummer green guatemala hair hairartist hairstyle happy healyourself heart heartbreaking hellerup highfidelityost hiring hk hkig hkiger home hornbrook hornbrook hornbrooke hovedspring htgedgeseq humanrights humantouch icebergs ididitagain igtravel indrebylokaludvalg ingerstøjberg inhoudversuspolitiek insects instacopenhagen instagay instagood instagood instagram instamood instatravel intern ios10 ipad4 iphone8 iphonesia irak islandsbrygge isoggrill it itsnotyourfaultariana iværksættere jamesbond japan javascript job job jobadvert journey justiciaparaberta kærligheddeternogetvispiser kidssavelives klmronaldo klokken kobenhavn kronborg kulhydrat kunst kv17 københavn københavn københavn lads lake landscape landsholdet lastyear leap learningfromaroundtheworld lecentegirlfriendpink lego leifsigersen lfcdk libyen lifestyle lifestyle litcoin littlemermaid liveagain livetpåbyggepladsen livetpåfrederiksberg liveu lol looksdontcounte louisehay love love lovestayhere luksustid lunch lykkeforskning macron maga magicmikexxl magnum majoritépourlafrance manchersterarena manchester manchester manchesterarena manchesterattack manchesterattack manchesterbombing manchesterexplosion manchesterstrong manutd marawi marketing marketingautomation matthewsantoro mayakmusic meatpacking mediaday medisterpølse memyselfandi metadata mikael mitnørrebro mongoart mongofood mongogamesets mongogamesets mongohome mongomedia mongonews mongosmoke mongospace mongotube morgenpånb mufc mufc_family mufcfans mycopenhagen myfirsttweet mymumisarebel mymummademedoit nails namaste napp nappsiesta nature nawazsharif netto new newchapter nexsku nikotinabstinenser nishikori nointruders nominees nomnom nordic nordicrace nynnesavery nyviden ocean ocr oiloncanvas oilpaint okbenzin oops opera operaen operahouse opføres ordinary ordinaryday ordinarylife originalphotography oslo pakistanmoneylaunderingnetwork panel paramedicsareawesome park party peaceintheworld pegavisão peoplewatching phateechar photo photoart photographer photography photooftheday photooftheday picoftheday play pldk pmln pocket_bnw pocket_family podcasting polocpythons portfolio poster potd pravida prayforariana prayforariana prayformachester prayformanchester prayformanchester preprint privatearea processes producer programming queen raellukatta ralphlauren ramadan rave raveraverave reallifeagain reddeadredemption2 resumeworkshop revengemode ride rip riprogermoore roadtostockholm roadtrip rockstargames rogermoore rolandgarros2017 rosenborgcastle rosenborgslot roskilde royal royalcaribbean runner rødcecil sad samsung sand scandinavia scandinavian schnakemoveyarr sdlgroupshare sdlroadshow sea security seizethesummer selfie selfieking selfies selftanrange selftans selvtak seoghør seoghør serenadeoftheseas servepratudo servicetweet seucongress sharingiscaring shellac shellac sidselmarieboeg sidsteskoledag simjunior sirrogermoore sitecore sketchapp sky sladder smartbuildings smartcities smartphone smartphones smorrebrod småblåmænd snatchinglifefromthejawsofdeath snow spain spotifyfansfirst spotifypremium ss17 stærkefællesskaber stampontheground stand4forests startups staysafe staystrong staystrongmanchester staytogether stones stopterror story strangeneighborhood strawberries streetfashion streetfood streetstyle streetwear studio sugcon2017 suicidegirls summer summer summer summer summerlove sun sundpol sunnydays sunrise sunset superkilen survey sweden sverige tablesetting takesasystemtosavealife talent tallest tattoo tb tbh tbt tbt tcot teamtimaws techfestival technews terrorattack terrorisme terroristsburninhell thelegendoftarzan thinkatheist throwbacktuesday thunderontheway timesofast tourist trailrun travel travel travelcopenhagen traveling travellife trees troponin trucersmp truckersmp trumtrum tuesday tuesday u21euro u9dreng uddkval uddpol udluftningsvindu ukdk ukirke union uspolitics uuvdk valgnu wawrinka webcomic webdesign webdev webdevelopment welldone wenstrupphoto westandtogether westandwithmanchester vesterbro vesterbro veterans white whitetobrown vikarlivet willitrain windfarm windpower wine wireframe wodhousegym wonderfulstansmile voreskbh work work workingholidays workinprogress worklife wwrydk youtuber yummylunch østerbro","ru ru uk ckb ckb en und et en en en da en en en en en nl en en und und en en en da en en da da en en en und en en da en da en sv und en da nl nl en und en en en und und da en da und und et en en en da en und en en und en sv en sv en en en da it no und it und und it da it und da it und en und en en es fr nl pt ru und en en en da und en en en en en en en en und en en en en da es und en da en es fr nl pt ru sv und da da en en da da und da da en en en da da da da da da da en da da en da da da da da nl en en en en en en fr fr und und und en en en und en en en en und en no en en en en und da nl und en und da no en en en en pt en en da da en und da en en und en en en da da da und da en en en en en en en en en en no en da en en en da fr da no en en en en en en en en en en da en en da en en und en en und da da nl en en no en no da no nl en en en en en da und da en und da en en da da en en nl es da en da da ru sv da da da da en und en no en da und en en und und und da da en pt en en fr da da fr da en en da en en da en da fr en en en fr en da en en da en en en en en da en en en uk und en da en da en da da da da en da da da da en en da en en en und uk en en no und en en en hi da da en da da en en fr en en en da da sv en da da da en en en en und en en en en en hi en und und fr en pt en hi en en en en en es es no da hi en en en en da da es pt en und en en und en en en en da no hi en ckb en en en en en en en en en nl en en en en und und en und und und da en en sv und en en en en sv en en en en en en en da fr no und pt da en da it und fr da en en en en und no da da en en en da en en en et et en da da und en en en en en sv da en nl en en en en en en en en da en no sv da sv da no en en en en en en und en da en en und en en und en und en en en en en en en und und und en en en pt en en en en en en en en fr und da en da da da en da da en da da en en da da da en fr und und da nl en und en da und en en en en en en da en und es en en en en en nl","1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 1 1 1 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 5 1 1 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 3 9 1 1 20 20 1 3 2 1 1 1 1 7 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 2 4 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 8 3 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 5 1 4 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 7 1 1 1 1 1 2 3 1 1 1 1 1 1 1 7 1 2 2 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1"
7,8.63262825,55.73069375,"atlantic attack beach blåvand bombing denmark dkpol dropzonedenmark dzdk endomondo endomondo endorphins endorphins esbjerg faldskærm faldskærmsspring feminaløb festival gig herning hvidesande info jutland landscape manchester manchesterbombing nature nyrekord nyrekordpå321 ocean opvarmningtilmotorvejsløbpåsøndag sea sealovers sun terrorism tv2 wind visitdenmark","en da da da da da da da da da en da en da da da en da da en en da da da da da en en en en en en en da da da da da","1 1 1 1 1 2 1 1 1 1 10 1 10 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1"
8,15.05214325,55.23235875,"bornholm livetiudkantsdanmark livetpålandet prayformanchester staystrongmanchester sunset","en en en en en en","1 1 1 1 1 1"
9,11.7462085,55.27921088,"ajaman ajax appwriteragenter butikoe butikoe butikoewomen butikoewomen chanel chanel cute digijob dk dkenergi dkgreen dkpæd dkpol endomondo endorphins ferdinandsbøfhus ferdinandsringsted follow gucci havbrug instagood joga læring love love me prayforhumanity prayformancester prayformanchester ringsted roadtostockholm skolechat smile soccer spring spring stockholm tagsforlikes tagsforlikesapp tuesdayselfie uddannelse wizkids vuc","nl nl no da no da no da no da no en da da no da en en en en da da da da en da da no da en en en en nl no da en da no nl da da en da no da","1 1 1 5 1 5 1 3 1 1 1 1 1 2 1 2 4 4 1 1 1 1 1 1 1 1 6 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 1 1 1"
10,10.4154805,57.4606995,"f4f karatelife l4l lfs loveit skagen sohappy sykkelglede tournament","en en en no en no en no en","1 1 1 1 1 1 1 1 1"
