"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,2,120,4,0,0,162,28,6,322
2,9.51589744444444,55.4110941111111,1,64,2,0,0,76,69,11,223
3,9.88525016666667,57.0638338333333,2,75,4,1,0,77,46,14,219
4,10.107444375,56.1718329375,1,128,2,0,2,178,60,27,398
5,9.39475316666667,56.2282926666667,0,17,1,0,0,11,24,6,59
6,12.3813014634146,55.7151783536585,25,728,33,4,5,1212,375,318,2700
7,8.63262825,55.73069375,1,62,0,0,0,59,8,7,137
8,15.05214325,55.23235875,0,11,0,0,0,107,1,2,121
9,11.7462085,55.279210875,2,25,3,0,0,57,10,5,102
10,10.4154805,57.4606995,1,0,0,0,0,6,1,0,8
11,8.649643,56.6895867857143,0,10,0,0,0,13,3,2,28
12,11.3490285,55.78039975,0,9,3,0,0,6,0,2,20
13,11.027705,57.263521,0,0,0,0,0,0,0,0,0
14,11.2665025,54.816726,1,15,1,0,0,10,2,0,29
15,10.9399305,56.516157,0,2,0,0,0,0,0,0,2
16,10.6567635,55.883821,0,0,0,0,0,0,0,0,0
17,8.856682,55.0631655,0,1,0,0,0,2,1,0,4
18,9.3581675,56.833725,0,0,0,0,0,1,0,0,1
19,15.1834177222222,59.2446665,226,2,3,5,0,52,21,22,331
20,14.910717,63.131001,14,0,0,0,0,6,6,1,27
21,14.3035100714286,56.3750567142857,70,0,2,0,0,28,5,10,115
22,13.246262,61.649499,0,0,0,0,0,5,8,0,13
23,17.63062,60.6220141666667,148,0,1,0,1,41,14,22,227
24,20.732045,65.762053,1,0,0,1,0,0,0,0,2
25,13.1165099285714,55.9013320714286,776,16,15,6,2,429,219,97,1560
26,12.2777641666667,58.7858365,17,1,0,0,0,11,0,0,29
27,15.65259925,62.66371075,2,0,0,0,0,0,0,0,2
28,13.190291,63.4988545,9,1,1,0,0,1,0,0,12
29,12.134823,59.6293525,1,0,0,0,0,0,1,3,5
30,17.7229565,64.201048,0,0,0,0,0,0,0,0,0
31,15.846178625,58.063031125,137,1,1,0,0,37,8,18,202
32,11.8771330277778,57.8004644444444,756,43,15,2,4,1513,61,138,2532
33,14.96001625,58.1864558125,49,0,0,1,0,7,4,2,63
34,12.7597134444444,58.0501567222222,160,0,0,1,1,50,52,27,291
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,43,4,0,0,0,5,2,8,62
37,19.197456,65.65933,0,0,0,0,0,0,0,0,0
38,12.970739,59.5412543,27,0,0,0,0,2,0,1,30
39,14.1985661111111,58.6860156666667,83,2,0,0,1,21,8,14,129
40,18.02042625,59.3589332692308,2824,27,41,23,13,1831,703,365,5827
41,18.4283835,60.386705,7,0,0,0,0,6,0,2,15
42,22.5946015,66.489606,0,0,0,11,0,2,0,1,14
43,23.51346,66.513206,0,0,0,11,0,0,0,0,11
44,16.1008347,59.98051575,45,0,3,3,0,6,2,3,62
45,12.589850875,56.615849,104,2,1,0,0,66,5,10,188
46,13.49591,62.690143,2,0,0,0,0,0,0,0,2
47,18.967192,63.964269,2,0,0,0,0,0,0,0,2
48,21.254209,66.047773,5,0,0,10,0,4,0,1,20
49,16.43840925,61.1213545,40,0,0,0,0,1,0,2,43
50,13.415557,57.3881655,30,0,0,0,0,9,2,6,47
51,16.715886,57.1583203333333,7,1,0,1,0,6,0,4,19
52,15.58905225,60.423136875,87,1,2,0,0,15,4,7,116
53,17.2979070833333,59.3251461666667,180,1,3,1,0,27,13,30,255
54,14.39066875,59.62487075,29,0,4,0,0,2,0,2,37
55,13.6244826,59.4685884,109,0,2,0,0,16,2,15,144
56,15.9208175,64.6821585,0,0,0,0,0,0,0,0,0
57,15.5251085,57.3067511,21,0,0,0,0,3,19,0,43
58,15.76367425,56.5748161666667,134,1,1,0,0,30,108,13,287
59,17.0336955,60.0655055,9,0,0,0,0,1,0,0,10
60,16.3933022,59.2908482,391,12,7,6,1,101,26,18,562
61,15.842093,58.93731075,1,0,0,0,0,3,0,1,5
62,13.372952375,58.428242,83,1,3,0,0,3,8,2,100
63,14.0279448,57.8808961,97,2,5,0,0,23,7,20,154
64,12.431369,57.3062655,40,0,0,0,0,9,4,17,70
65,13.591122,60.0908275,2,0,0,0,0,1,0,0,3
66,19.4656435,67.198665,0,0,0,24,0,1,3,1,29
67,14.899423125,60.336809125,26,0,0,0,0,5,1,0,32
68,13.8182933333333,56.8326863333333,24,0,0,0,0,2,0,0,26
69,17.3456675,58.6664325,28,0,1,0,0,19,2,8,58
70,18.661315,57.696298,161,2,2,0,1,29,9,17,221
71,13.7429415,62.164232,9,0,2,9,0,0,4,0,24
72,17.8621406666667,62.7151231666667,16,0,0,0,0,19,1,4,40
73,13.8097530833333,55.67400825,71,6,3,0,0,59,5,7,151
74,14.618906,57.46246425,8,0,0,0,0,7,0,2,17
75,23.754817,65.748327,0,0,0,4,0,1,1,1,7
76,17.0541605,61.91692925,14,1,0,0,0,0,1,2,18
77,18.6875185,66.9073215,0,0,0,5,0,1,0,0,6
78,23.0083025,65.7634915,28,0,2,10,0,2,0,2,44
79,15.008784625,56.216097125,57,0,1,0,0,7,3,0,68
80,20.592823,68.207941,2,1,0,25,0,3,4,1,36
81,14.1914965,63.802911,4,0,0,0,0,0,0,0,4
82,15.5396215,61.913626,6,0,0,0,0,1,0,0,7
83,22.2299115,65.691135,54,1,0,14,0,15,4,4,92
84,18.41001,64.6515525,7,0,0,0,0,3,0,0,10
85,11.3009169,58.4381282,15,0,0,0,0,18,23,3,59
86,16.6437,56.338615,5,0,0,0,0,1,1,0,7
87,18.779528,65.254725,0,0,0,0,0,0,0,0,0
