"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,1,68,1,0,0,61,11,6,148
2,9.51589744444444,55.4110941111111,1,39,1,0,1,79,27,12,160
3,9.88525016666667,57.0638338333333,0,47,3,0,0,48,23,16,137
4,10.107444375,56.1718329375,0,130,5,0,0,201,17,63,416
5,9.39475316666667,56.2282926666667,0,14,0,0,0,19,6,4,43
6,12.3813014634146,55.7151783536585,21,610,22,1,4,934,225,165,1982
7,8.63262825,55.73069375,1,17,1,0,0,86,2,5,112
8,15.05214325,55.23235875,0,2,0,0,0,7,0,0,9
9,11.7462085,55.279210875,0,33,1,0,0,42,4,3,83
10,10.4154805,57.4606995,0,3,0,0,0,3,3,0,9
11,8.649643,56.6895867857143,0,6,0,0,0,22,6,1,35
12,11.3490285,55.78039975,0,7,0,0,0,60,1,3,71
13,11.027705,57.263521,0,0,0,0,0,0,0,0,0
14,11.2665025,54.816726,1,12,0,0,0,5,1,2,21
15,10.9399305,56.516157,0,1,0,0,0,0,0,1,2
16,10.6567635,55.883821,0,0,1,0,0,0,0,0,1
17,8.856682,55.0631655,0,0,0,0,0,1,1,0,2
18,9.3581675,56.833725,0,0,0,0,0,3,3,0,6
19,15.1834177222222,59.2446665,90,0,2,0,0,74,7,66,239
20,14.910717,63.131001,38,1,0,0,0,5,1,0,45
21,14.3035100714286,56.3750567142857,16,2,1,1,0,5,4,3,32
22,13.246262,61.649499,4,10,0,0,0,0,0,1,15
23,17.63062,60.6220141666667,42,1,0,0,0,12,4,12,71
24,20.732045,65.762053,0,0,0,2,0,0,0,0,2
25,13.1165099285714,55.9013320714286,336,8,6,0,2,319,107,242,1020
26,12.2777641666667,58.7858365,18,0,0,0,0,2,1,2,23
27,15.65259925,62.66371075,0,0,0,0,0,0,0,1,1
28,13.190291,63.4988545,4,0,0,0,0,1,0,0,5
29,12.134823,59.6293525,1,0,0,0,0,1,0,0,2
30,17.7229565,64.201048,0,0,0,0,0,0,0,0,0
31,15.846178625,58.063031125,76,0,0,0,0,71,11,12,170
32,11.8771330277778,57.8004644444444,458,9,2,6,0,367,69,58,969
33,14.96001625,58.1864558125,21,0,1,0,0,2,3,1,28
34,12.7597134444444,58.0501567222222,120,1,0,0,0,16,15,21,173
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,18,0,1,0,0,1,0,1,21
37,19.197456,65.65933,12,0,0,0,0,0,2,1,15
38,12.970739,59.5412543,12,0,0,0,0,2,2,0,16
39,14.1985661111111,58.6860156666667,21,0,0,0,1,16,2,5,45
40,18.02042625,59.3589332692308,1694,30,35,12,3,1407,341,334,3856
41,18.4283835,60.386705,2,0,0,0,0,0,0,0,2
42,22.5946015,66.489606,0,0,0,7,0,1,0,0,8
43,23.51346,66.513206,2,0,0,8,0,0,0,0,10
44,16.1008347,59.98051575,31,0,0,0,0,19,6,4,60
45,12.589850875,56.615849,45,0,2,0,0,59,14,27,147
46,13.49591,62.690143,0,0,0,0,0,0,0,0,0
47,18.967192,63.964269,0,0,0,0,0,0,0,0,0
48,21.254209,66.047773,7,1,0,11,0,0,0,0,19
49,16.43840925,61.1213545,14,0,0,0,0,1,2,1,18
50,13.415557,57.3881655,15,0,0,0,1,5,2,0,23
51,16.715886,57.1583203333333,5,0,0,0,0,0,0,0,5
52,15.58905225,60.423136875,18,0,0,0,0,20,2,4,44
53,17.2979070833333,59.3251461666667,67,0,0,1,0,30,10,18,126
54,14.39066875,59.62487075,9,0,0,0,0,6,0,1,16
55,13.6244826,59.4685884,28,0,1,0,0,6,4,7,46
56,15.9208175,64.6821585,1,0,0,0,0,0,0,0,1
57,15.5251085,57.3067511,11,0,0,0,0,9,6,6,32
58,15.76367425,56.5748161666667,89,0,1,0,1,26,92,14,223
59,17.0336955,60.0655055,0,0,0,0,0,0,0,0,0
60,16.3933022,59.2908482,217,3,2,0,0,43,35,17,317
61,15.842093,58.93731075,1,0,0,0,0,3,0,0,4
62,13.372952375,58.428242,17,0,0,0,0,13,1,0,31
63,14.0279448,57.8808961,158,2,3,0,1,30,6,18,218
64,12.431369,57.3062655,16,0,0,0,0,5,0,3,24
65,13.591122,60.0908275,0,0,0,0,0,0,0,0,0
66,19.4656435,67.198665,2,0,0,19,0,0,0,0,21
67,14.899423125,60.336809125,7,0,0,0,0,9,5,0,21
68,13.8182933333333,56.8326863333333,26,0,0,0,0,4,1,1,32
