"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,1,30,0,0,0,90,34,7,162
2,9.51589744444444,55.4110941111111,0,38,1,0,0,34,20,7,100
3,9.88525016666667,57.0638338333333,1,89,3,0,0,56,12,31,192
4,10.107444375,56.1718329375,3,102,10,1,3,185,44,25,373
5,9.39475316666667,56.2282926666667,0,15,0,0,0,24,16,5,60
6,12.3813014634146,55.7151783536585,20,424,26,1,1,842,252,135,1701
7,8.63262825,55.73069375,0,26,1,0,0,50,1,6,84
8,15.05214325,55.23235875,0,11,0,0,0,3,1,0,15
9,11.7462085,55.279210875,0,36,1,1,0,46,6,10,100
10,10.4154805,57.4606995,0,2,0,0,0,4,1,0,7
11,8.649643,56.6895867857143,0,10,0,0,0,6,3,3,22
12,11.3490285,55.78039975,0,3,1,0,0,3,0,0,7
13,11.027705,57.263521,0,0,0,0,0,0,0,0,0
14,11.2665025,54.816726,0,6,1,0,0,7,0,1,15
15,10.9399305,56.516157,0,5,0,0,0,4,0,0,9
16,10.6567635,55.883821,0,2,0,0,0,0,0,1,3
17,8.856682,55.0631655,0,1,0,0,0,1,4,0,6
18,9.3581675,56.833725,0,0,0,0,0,2,0,0,2
19,15.1834177222222,59.2446665,151,0,2,0,1,45,20,11,230
20,14.910717,63.131001,22,0,0,0,0,2,0,0,24
21,14.3035100714286,56.3750567142857,38,0,1,0,0,12,1,4,56
22,13.246262,61.649499,0,0,0,0,0,0,0,0,0
23,17.63062,60.6220141666667,84,0,1,1,0,10,5,12,113
24,20.732045,65.762053,0,0,0,2,0,0,0,0,2
25,13.1165099285714,55.9013320714286,404,17,12,1,0,241,113,146,934
26,12.2777641666667,58.7858365,27,0,1,0,0,0,7,0,35
27,15.65259925,62.66371075,1,0,0,0,0,0,0,0,1
28,13.190291,63.4988545,1,2,0,0,0,0,0,0,3
29,12.134823,59.6293525,15,0,0,0,0,0,1,0,16
30,17.7229565,64.201048,0,0,0,0,0,0,0,0,0
31,15.846178625,58.063031125,65,1,2,0,0,58,10,8,144
32,11.8771330277778,57.8004644444444,476,9,13,12,2,453,67,76,1108
33,14.96001625,58.1864558125,19,1,1,0,0,4,0,3,28
34,12.7597134444444,58.0501567222222,175,1,3,0,0,56,6,18,259
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,38,0,2,0,0,6,2,1,49
37,19.197456,65.65933,0,0,0,0,0,0,0,0,0
38,12.970739,59.5412543,20,1,0,0,0,2,2,1,26
39,14.1985661111111,58.6860156666667,29,0,0,0,0,6,7,4,46
40,18.02042625,59.3589332692308,1801,19,37,5,2,1420,453,203,3940
41,18.4283835,60.386705,0,0,0,0,0,0,1,0,1
42,22.5946015,66.489606,1,0,0,13,0,0,0,0,14
43,23.51346,66.513206,0,0,0,8,0,0,0,0,8
44,16.1008347,59.98051575,20,2,1,0,0,4,3,3,33
45,12.589850875,56.615849,70,2,6,0,1,61,4,17,161
46,13.49591,62.690143,1,0,0,0,0,0,0,0,1
47,18.967192,63.964269,0,0,0,0,0,0,0,0,0
48,21.254209,66.047773,6,0,0,10,0,4,1,1,22
49,16.43840925,61.1213545,8,0,0,0,0,3,7,0,18
50,13.415557,57.3881655,15,0,0,0,0,10,2,1,28
51,16.715886,57.1583203333333,11,0,0,0,0,2,0,0,13
52,15.58905225,60.423136875,21,0,0,0,0,8,5,1,35
53,17.2979070833333,59.3251461666667,86,1,3,0,0,42,5,6,143
54,14.39066875,59.62487075,17,0,0,0,0,12,0,2,31
55,13.6244826,59.4685884,94,2,4,0,0,20,5,13,138
56,15.9208175,64.6821585,1,0,0,0,0,2,0,0,3
57,15.5251085,57.3067511,6,1,0,0,0,22,11,60,100
58,15.76367425,56.5748161666667,66,1,0,0,1,21,66,35,190
59,17.0336955,60.0655055,2,0,0,0,0,0,0,0,2
60,16.3933022,59.2908482,218,4,3,2,0,154,28,19,428
61,15.842093,58.93731075,4,0,0,0,0,0,1,0,5
62,13.372952375,58.428242,32,0,2,0,0,7,3,1,45
63,14.0279448,57.8808961,116,1,1,2,0,31,4,12,167
64,12.431369,57.3062655,30,0,0,0,0,9,5,3,47
65,13.591122,60.0908275,1,0,0,0,0,0,0,0,1
