"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,0,59,2,0,0,67,40,8,176
2,9.51589744444444,55.4110941111111,2,66,4,0,0,85,24,11,192
3,9.88525016666667,57.0638338333333,1,59,3,0,2,105,27,17,214
4,10.107444375,56.1718329375,3,85,1,3,1,115,7,30,245
5,9.39475316666667,56.2282926666667,0,44,1,0,0,32,10,0,87
6,12.3813014634146,55.7151783536585,48,558,31,7,3,797,348,128,1920
7,8.63262825,55.73069375,0,29,2,0,0,42,6,2,81
8,15.05214325,55.23235875,0,8,1,0,0,3,0,0,12
9,11.7462085,55.279210875,0,38,2,0,0,85,32,4,161
10,10.4154805,57.4606995,1,1,1,0,0,5,1,0,9
11,8.649643,56.6895867857143,0,6,0,0,0,20,4,0,30
12,11.3490285,55.78039975,0,18,3,0,0,10,3,3,37
13,11.027705,57.263521,0,2,0,0,0,0,0,1,3
14,11.2665025,54.816726,0,3,0,0,0,1,3,4,11
15,10.9399305,56.516157,0,3,0,0,0,11,2,3,19
16,10.6567635,55.883821,0,0,0,0,0,1,0,0,1
17,8.856682,55.0631655,0,1,0,0,0,1,0,0,2
18,9.3581675,56.833725,0,0,0,0,0,0,4,1,5
19,15.1834177222222,59.2446665,102,1,7,0,1,24,12,28,175
20,14.910717,63.131001,44,0,2,0,0,5,0,1,52
21,14.3035100714286,56.3750567142857,78,0,0,1,0,20,12,5,116
22,13.246262,61.649499,1,0,0,0,0,0,0,0,1
23,17.63062,60.6220141666667,160,5,5,1,0,53,15,39,278
24,20.732045,65.762053,3,0,0,3,0,0,1,0,7
25,13.1165099285714,55.9013320714286,455,5,10,1,2,218,183,186,1060
26,12.2777641666667,58.7858365,16,0,2,0,0,7,4,0,29
27,15.65259925,62.66371075,3,0,0,0,0,0,0,0,3
28,13.190291,63.4988545,11,0,1,0,0,7,2,0,21
29,12.134823,59.6293525,4,0,0,0,0,5,1,1,11
30,17.7229565,64.201048,0,0,0,0,0,0,1,0,1
31,15.846178625,58.063031125,79,0,2,2,0,65,18,21,187
32,11.8771330277778,57.8004644444444,786,8,15,12,1,453,102,95,1472
33,14.96001625,58.1864558125,33,0,0,0,1,3,0,2,39
34,12.7597134444444,58.0501567222222,115,2,3,0,0,52,6,49,227
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,55,1,2,0,1,8,4,6,77
37,19.197456,65.65933,0,0,0,0,0,0,1,0,1
38,12.970739,59.5412543,37,1,2,2,0,7,2,1,52
39,14.1985661111111,58.6860156666667,47,1,2,0,0,5,2,2,59
40,18.02042625,59.3589332692308,1914,26,33,7,5,972,304,239,3500
41,18.4283835,60.386705,19,1,0,0,0,2,2,1,25
42,22.5946015,66.489606,7,0,1,11,0,0,0,0,19
43,23.51346,66.513206,0,0,0,7,0,2,0,0,9
44,16.1008347,59.98051575,30,0,1,0,0,7,0,4,42
45,12.589850875,56.615849,106,3,2,0,0,75,10,22,218
46,13.49591,62.690143,2,0,0,0,0,2,0,0,4
47,18.967192,63.964269,0,0,0,0,0,0,0,0,0
48,21.254209,66.047773,9,0,1,7,0,1,1,0,19
49,16.43840925,61.1213545,11,1,0,0,0,2,8,2,24
50,13.415557,57.3881655,10,0,1,0,0,5,5,7,28
51,16.715886,57.1583203333333,33,0,1,0,0,16,2,3,55
52,15.58905225,60.423136875,40,0,0,1,0,15,6,1,63
53,17.2979070833333,59.3251461666667,90,1,2,2,0,29,4,8,136
54,14.39066875,59.62487075,13,0,1,0,0,0,5,2,21
55,13.6244826,59.4685884,97,1,1,0,0,18,0,4,121
56,15.9208175,64.6821585,1,0,0,0,0,1,0,0,2
57,15.5251085,57.3067511,16,2,1,0,0,3,2,0,24
58,15.76367425,56.5748161666667,116,1,1,2,0,216,98,11,445
59,17.0336955,60.0655055,0,0,0,0,0,0,0,0,0
60,16.3933022,59.2908482,130,4,1,1,0,116,13,30,295
61,15.842093,58.93731075,7,1,0,0,0,1,0,0,9
62,13.372952375,58.428242,40,1,2,0,0,9,22,9,83
63,14.0279448,57.8808961,169,1,4,1,0,13,8,10,206
64,12.431369,57.3062655,55,1,0,0,0,17,0,57,130
65,13.591122,60.0908275,9,0,0,0,0,0,2,1,12
66,19.4656435,67.198665,1,0,0,16,0,3,1,0,21
67,14.899423125,60.336809125,27,1,0,0,0,3,10,1,42
68,13.8182933333333,56.8326863333333,8,0,0,0,0,5,7,1,21
69,17.3456675,58.6664325,24,0,0,0,0,5,1,2,32
70,18.661315,57.696298,89,3,1,0,2,40,7,22,164
71,13.7429415,62.164232,2,0,0,11,0,0,2,0,15
72,17.8621406666667,62.7151231666667,36,0,1,0,0,20,1,1,59
73,13.8097530833333,55.67400825,56,0,1,0,0,12,3,2,74
74,14.618906,57.46246425,2,0,0,0,0,7,4,0,13
75,23.754817,65.748327,1,0,0,6,0,1,0,0,8
