"cluster_id","cluster_x","cluster_y","Swedish","Danish","Norwegian","Finish","Icelandic","English","Other","Unknown","Total"
1,10.4631996666667,55.2279477777778,0,31,2,0,0,78,23,18,152
2,9.51589744444444,55.4110941111111,1,56,1,0,1,98,20,17,194
3,9.88525016666667,57.0638338333333,0,42,4,0,0,80,34,14,174
4,10.107444375,56.1718329375,4,102,3,1,0,169,27,24,330
5,9.39475316666667,56.2282926666667,0,10,0,0,0,21,8,3,42
6,12.3813014634146,55.7151783536585,46,428,38,10,3,927,413,180,2045
7,8.63262825,55.73069375,2,26,0,0,0,46,16,4,94
8,15.05214325,55.23235875,7,22,0,0,0,11,3,2,45
9,11.7462085,55.279210875,0,34,0,0,1,46,14,9,104
10,10.4154805,57.4606995,0,11,0,0,0,7,2,0,20
11,8.649643,56.6895867857143,1,8,0,0,0,34,2,3,48
12,11.3490285,55.78039975,0,13,1,0,0,12,7,2,35
13,11.027705,57.263521,0,1,1,0,0,0,1,0,3
14,11.2665025,54.816726,1,4,3,0,0,7,11,0,26
15,10.9399305,56.516157,0,2,1,0,0,17,0,1,21
16,10.6567635,55.883821,1,3,0,0,0,1,1,2,8
17,8.856682,55.0631655,0,1,0,0,0,2,1,2,6
18,9.3581675,56.833725,0,0,0,0,0,1,9,0,10
19,15.1834177222222,59.2446665,147,3,1,1,0,21,13,41,227
20,14.910717,63.131001,38,0,2,0,0,10,16,3,69
21,14.3035100714286,56.3750567142857,58,1,1,0,0,10,4,4,78
22,13.246262,61.649499,0,0,0,0,0,0,0,0,0
23,17.63062,60.6220141666667,69,1,1,0,0,13,1,8,93
24,20.732045,65.762053,0,0,0,4,0,1,0,0,5
25,13.1165099285714,55.9013320714286,460,9,10,1,0,256,190,152,1078
26,12.2777641666667,58.7858365,21,0,0,0,0,1,7,0,29
27,15.65259925,62.66371075,4,0,0,0,0,8,1,0,13
28,13.190291,63.4988545,17,4,1,0,0,2,1,0,25
29,12.134823,59.6293525,2,0,1,0,0,1,1,1,6
30,17.7229565,64.201048,1,0,0,0,0,0,0,0,1
31,15.846178625,58.063031125,85,4,2,8,0,65,18,2,184
32,11.8771330277778,57.8004644444444,592,9,17,13,0,433,146,88,1298
33,14.96001625,58.1864558125,45,1,1,0,0,17,3,4,71
34,12.7597134444444,58.0501567222222,141,2,2,0,0,53,12,17,227
35,17.202483,66.3823185,0,0,0,0,0,0,0,0,0
36,18.392183,63.413379,34,1,0,0,0,4,1,4,44
37,19.197456,65.65933,0,0,0,0,0,0,0,0,0
38,12.970739,59.5412543,22,1,0,1,0,16,1,1,42
39,14.1985661111111,58.6860156666667,73,0,0,0,0,4,7,4,88
40,18.02042625,59.3589332692308,2061,23,44,19,1,1009,267,213,3637
41,18.4283835,60.386705,20,0,0,0,0,1,0,0,21
42,22.5946015,66.489606,0,0,0,4,0,0,0,0,4
43,23.51346,66.513206,0,0,0,7,0,1,0,0,8
44,16.1008347,59.98051575,63,0,1,0,0,17,3,5,89
45,12.589850875,56.615849,155,2,3,0,0,74,16,16,266
46,13.49591,62.690143,1,0,0,0,0,0,1,0,2
47,18.967192,63.964269,0,0,0,0,0,0,0,0,0
48,21.254209,66.047773,11,0,0,15,0,1,2,0,29
49,16.43840925,61.1213545,21,0,0,0,0,4,3,0,28
50,13.415557,57.3881655,24,2,0,0,0,5,20,4,55
51,16.715886,57.1583203333333,23,0,1,0,1,13,2,1,41
52,15.58905225,60.423136875,68,1,1,0,0,14,4,4,92
53,17.2979070833333,59.3251461666667,80,0,0,0,0,24,3,6,113
54,14.39066875,59.62487075,15,0,0,0,0,3,0,0,18
55,13.6244826,59.4685884,95,0,0,0,0,12,2,4,113
56,15.9208175,64.6821585,3,0,0,0,0,2,1,0,6
57,15.5251085,57.3067511,24,0,0,0,0,4,4,2,34
58,15.76367425,56.5748161666667,114,2,0,0,0,104,80,131,431
59,17.0336955,60.0655055,5,0,0,0,0,0,0,0,5
60,16.3933022,59.2908482,183,1,2,1,1,73,18,32,311
61,15.842093,58.93731075,11,0,0,0,0,1,1,1,14
62,13.372952375,58.428242,44,0,3,0,0,12,1,5,65
63,14.0279448,57.8808961,105,3,4,0,0,28,3,10,153
64,12.431369,57.3062655,54,0,2,0,0,5,1,7,69
65,13.591122,60.0908275,19,0,0,0,0,0,0,2,21
66,19.4656435,67.198665,6,0,0,19,0,0,0,0,25
67,14.899423125,60.336809125,29,0,0,0,0,7,15,4,55
68,13.8182933333333,56.8326863333333,11,1,0,0,0,5,8,2,27
69,17.3456675,58.6664325,30,0,0,1,0,2,2,2,37
70,18.661315,57.696298,129,2,3,0,0,36,4,14,188
71,13.7429415,62.164232,6,0,0,5,0,1,0,0,12
72,17.8621406666667,62.7151231666667,41,1,1,0,0,20,1,0,64
73,13.8097530833333,55.67400825,63,0,0,0,0,49,3,6,121
74,14.618906,57.46246425,5,0,0,0,0,35,5,1,46
75,23.754817,65.748327,1,0,0,4,0,0,0,0,5
76,17.0541605,61.91692925,24,0,0,0,0,4,2,2,32
77,18.6875185,66.9073215,5,0,0,4,0,1,0,2,12
78,23.0083025,65.7634915,3,1,0,11,0,2,0,0,17
79,15.008784625,56.216097125,22,0,1,0,0,21,6,2,52
80,20.592823,68.207941,14,1,0,32,0,2,1,0,50
81,14.1914965,63.802911,2,1,0,0,0,2,0,0,5
82,15.5396215,61.913626,11,0,0,0,0,2,1,0,14
83,22.2299115,65.691135,116,1,1,15,1,40,0,7,181
84,18.41001,64.6515525,14,0,0,0,0,0,0,0,14
85,11.3009169,58.4381282,101,3,2,0,0,8,3,6,123
86,16.6437,56.338615,11,1,0,0,0,6,0,1,19
87,18.779528,65.254725,0,0,0,0,0,0,0,0,0
